DATE ; IP ; SOURCE ; DESTINATION ; PORT ; FLAG ; SEQ ; ACK ; WIN ; OPTIONS ; VAL ; ECR ; LENGTH
07:48:25.308119; ;192.168.190.222.61613;BP-Linux8;ssh:;.; ;105;2046;nopnopTS;2033243206;136696373;0
07:48:25.308234; ;192.168.190.222.61613;BP-Linux8;ssh:;.; ;141;2047;nopnopTS;2033243206;136696373;0
07:48:25.308360; ;192.168.190.222.61613;BP-Linux8;ssh:;.; ;241;2046;nopnopTS;2033243206;136696373;0
07:48:25.308380; ;192.168.190.222.61613;BP-Linux8;ssh:;.; ;277;2047;nopnopTS;2033243206;136696373;0
07:48:25.309042; ;192.168.190.222.61613;BP-Linux8;ssh:;.; ;377;2046;nopnopTS;2033243206;136696373;0
07:48:25.309193; ;192.168.190.222.61613;BP-Linux8;ssh:;.; ;413;2047;nopnopTS;2033243207;136696373;0
07:48:26.300592; ;BP-Linux8.55872;ns1.lan.rt;domain:; ; ; ; ; ; ; ; 
07:48:26.302580; ;BP-Linux8;192.168.115;255:; ;2; ; ; ; ; ;64
07:48:26.303098; ;192.168.115.2;;BP-Linux8:; ;2; ; ; ; ; ;64
07:48:26.303170; ;BP-Linux8.ssh;192.168.190.222;61613:;P.;413:513;36;291;nopnopTS;136696623;2033243207;100
07:48:26.305740; ;ns1.lan.rt.domain;BP-Linux8;55872:; ; ; ; ; ; ; ; 
07:48:26.305846; ;BP-Linux8.43741;ns1.lan.rt;domain:; ; ; ; ; ; ; ; 
07:48:26.308611; ;192.168.190.222.61613;BP-Linux8;ssh:;.; ;513;2046;nopnopTS;2033244205;136696623;0
07:48:26.310939; ;ns1.lan.rt.domain;BP-Linux8;43741:; ; ; ; ; ; ; ; 
07:48:27.302592; ;BP-Linux8;192.168.115;255:; ;3; ; ; ; ; ;64
07:48:27.303146; ;192.168.115.2;;BP-Linux8:; ;3; ; ; ; ; ;64
07:48:27.303220; ;BP-Linux8.ssh;192.168.190.222;61613:;P.;513:613;36;291;nopnopTS;136696873;2033244205;100
07:48:27.308724; ;192.168.190.222.61613;BP-Linux8;ssh:;.; ;613;2046;nopnopTS;2033245196;136696873;0
07:48:28.302593; ;BP-Linux8;192.168.115;255:; ;4; ; ; ; ; ;64
07:48:28.303125; ;192.168.115.2;;BP-Linux8:; ;4; ; ; ; ; ;64
07:48:28.303221; ;BP-Linux8.ssh;192.168.190.222;61613:;P.;613:713;36;291;nopnopTS;136697123;2033245196;100
07:48:28.308489; ;192.168.190.222.61613;BP-Linux8;ssh:;.; ;713;2046;nopnopTS;2033246189;136697123;0
07:48:29.302608; ;BP-Linux8;192.168.115;255:; ;5; ; ; ; ; ;64
07:48:29.303133; ;192.168.115.2;;BP-Linux8:; ;5; ; ; ; ; ;64
07:48:29.303232; ;BP-Linux8.ssh;192.168.190.222;61613:;P.;713:813;36;291;nopnopTS;136697373;2033246189;100
07:48:29.308529; ;192.168.190.222.61613;BP-Linux8;ssh:;.; ;813;2046;nopnopTS;2033247188;136697373;0
07:48:30.302593; ;BP-Linux8;192.168.115;255:; ;6; ; ; ; ; ;64
07:48:30.303189; ;192.168.115.2;;BP-Linux8:; ;6; ; ; ; ; ;64
07:48:30.303263; ;BP-Linux8.ssh;192.168.190.222;61613:;P.;813:913;36;291;nopnopTS;136697623;2033247188;100
07:48:30.308605; ;192.168.190.222.61613;BP-Linux8;ssh:;.; ;913;2046;nopnopTS;2033248187;136697623;0
07:48:31.302598; ;BP-Linux8;192.168.115;255:; ;7; ; ; ; ; ;64
07:48:31.303111; ;192.168.115.2;;BP-Linux8:; ;7; ; ; ; ; ;64
07:48:31.303193; ;BP-Linux8.ssh;192.168.190.222;61613:;P.;913:1013;36;291;nopnopTS;136697873;2033248187;100
07:48:31.308964; ;192.168.190.222.61613;BP-Linux8;ssh:;.; ;1013;2046;nopnopTS;2033249186;136697873;0
07:48:32.209900; ;192.168.190.222.61604;BP-Linux8;ssh:;P.;36:80;637;2048;nopnopTS;2033250086;136695929;44
07:48:32.210144; ;BP-Linux8.ssh;192.168.190.222;61604:;P.;637:745;80;293;nopnopTS;136698099;2033250086;108
07:48:32.215422; ;192.168.190.222.61604;BP-Linux8;ssh:;.; ;745;2046;nopnopTS;2033250091;136698099;0
07:48:32.302591; ;BP-Linux8;192.168.115;255:; ;8; ; ; ; ; ;64
07:48:32.303117; ;192.168.115.2;;BP-Linux8:; ;8; ; ; ; ; ;64
07:48:32.303189; ;BP-Linux8.ssh;192.168.190.222;61613:;P.;1013:1113;36;291;nopnopTS;136698123;2033249186;100
07:48:32.308555; ;192.168.190.222.61613;BP-Linux8;ssh:;.; ;1113;2046;nopnopTS;2033250183;136698123;0
07:48:32.665083; ;192.168.190.222.61604;BP-Linux8;ssh:;P.;80:116;745;2048;nopnopTS;2033250538;136698099;36
07:48:32.665937; ;BP-Linux8.ssh;192.168.190.222;61604:;P.;745:781;116;293;nopnopTS;136698213;2033250538;36
07:48:32.669785; ;BP-Linux8.34664;ns1.lan.rt;domain:; ; ; ; ; ; ; ; 
07:48:32.670602; ;ns1.lan.rt.domain;BP-Linux8;34664:; ; ; ; ; ; ; ; 
07:48:32.671188; ;192.168.190.222.61604;BP-Linux8;ssh:;.; ;781;2047;nopnopTS;2033250543;136698213;0
07:48:32.671507; ;BP-Linux8.ssh;192.168.190.222;61604:;P.;781:889;116;293;nopnopTS;136698215;2033250543;108
